10 1.758141e+01
11 1.472526e+01
12 1.355385e+01
13 1.251180e+01
14 9.990597e+00
16 8.002163e+00
17 7.382339e+00
19 6.236712e+00
21 4.849044e+00
23 4.166212e+00
26 3.751498e+00
29 3.261416e+00
32 2.974162e+00
35 2.441868e+00
38 2.010528e+00
42 1.684073e+00
47 1.389407e+00
52 1.110892e+00
57 9.830310e-01
63 8.315019e-01
69 7.345491e-01
76 5.263726e-01
84 4.673100e-01
93 3.705534e-01
102 3.230000e-01
113 2.854638e-01
124 2.553658e-01
137 2.333062e-01
151 2.183704e-01
167 1.755129e-01
184 1.563265e-01
203 1.305041e-01
223 1.175138e-01
246 9.853208e-02
271 8.612334e-02
299 7.701920e-02
330 6.328852e-02
363 5.356191e-02
400 4.827684e-02
441 4.702043e-02
486 3.942880e-02
536 3.549770e-02
591 2.819968e-02
651 2.530835e-02
717 2.589941e-02
791 2.275602e-02
871 2.089297e-02
960 1.856271e-02
1058 1.733544e-02
1166 1.542910e-02
1285 1.411283e-02
1416 1.228465e-02
1561 1.055756e-02
1720 9.444899e-03
1896 7.945412e-03
2089 7.155778e-03
2302 6.701356e-03
2537 6.000164e-03
2796 5.486690e-03
3081 5.014629e-03
3395 5.401103e-03
3742 4.930090e-03
4124 4.265634e-03
4544 3.951622e-03
5008 3.356718e-03
5519 3.009427e-03
6082 2.666221e-03
6702 2.485116e-03
7386 2.154322e-03
8139 2.252080e-03
8969 1.897063e-03
9884 1.791956e-03
10893 1.475101e-03
12004 1.368174e-03
13228 1.227037e-03
14578 1.124508e-03
16065 1.188703e-03
17703 1.031080e-03
19509 9.300640e-04
21499 8.944550e-04
23692 6.691274e-04
26109 5.745502e-04
28772 4.918366e-04
31707 5.196811e-04
34942 4.631717e-04
38506 4.180508e-04
42434 3.684265e-04
46762 3.468371e-04
51532 3.614391e-04
56788 2.940217e-04
62581 3.089476e-04
68965 2.751883e-04
75999 2.405853e-04
83751 2.141779e-04
92294 1.979739e-04
101709 1.960137e-04
112083 1.885452e-04
123516 1.606156e-04
136115 1.431298e-04
150000 1.227154e-04
