10 2.397811e-01
11 1.977775e-01
12 1.840723e-01
13 1.570132e-01
14 1.129813e-01
16 9.454483e-02
17 8.987025e-02
19 7.786912e-02
21 7.413195e-02
23 6.475067e-02
26 5.630063e-02
29 4.812242e-02
32 4.571377e-02
35 3.880538e-02
38 3.355944e-02
42 3.192380e-02
47 2.852774e-02
52 2.303844e-02
57 2.265310e-02
63 2.122636e-02
69 2.032966e-02
76 1.653125e-02
84 1.356846e-02
93 1.179425e-02
102 1.440722e-02
113 1.157372e-02
124 1.205030e-02
137 9.339200e-03
151 8.645722e-03
167 7.630817e-03
184 7.368395e-03
203 6.235891e-03
223 6.254693e-03
246 5.367540e-03
271 4.426019e-03
299 3.835044e-03
330 3.132918e-03
363 2.729168e-03
400 2.771777e-03
441 2.156172e-03
486 1.823886e-03
536 1.959258e-03
591 1.909898e-03
651 1.742061e-03
717 1.438022e-03
791 1.187597e-03
871 1.092325e-03
960 1.065035e-03
1058 9.146609e-04
1166 8.905949e-04
1285 8.020494e-04
1416 7.051762e-04
1561 6.536013e-04
1720 6.479795e-04
1896 5.764912e-04
2089 5.635898e-04
2302 5.103429e-04
2537 5.212530e-04
2796 4.074744e-04
3081 3.374915e-04
3395 3.214069e-04
3742 3.073898e-04
4124 3.074430e-04
4544 2.300335e-04
5008 2.214443e-04
5519 1.988257e-04
6082 2.259548e-04
6702 1.835597e-04
7386 1.476131e-04
8139 1.487444e-04
8969 1.269528e-04
9884 1.198848e-04
10893 9.561797e-05
12004 8.467428e-05
13228 7.199153e-05
14578 7.488886e-05
16065 6.955828e-05
17703 7.123462e-05
19509 5.813800e-05
21499 4.538768e-05
23692 4.405588e-05
26109 3.779869e-05
28772 3.626143e-05
31707 3.611790e-05
34942 3.249081e-05
38506 2.909908e-05
42434 2.699834e-05
46762 2.155317e-05
51532 1.858565e-05
56788 1.670979e-05
62581 1.663456e-05
68965 1.628020e-05
75999 1.381343e-05
83751 1.349909e-05
92294 1.320132e-05
101709 1.162493e-05
112083 1.022225e-05
123516 8.969089e-06
136115 8.997357e-06
150000 7.686918e-06
